literal	 category	 regex	 rule
lumenal reduction	CAROTID_DISEASE	r'''(lumenal\W+|diameter\W+|flow\W+)(reduction|narrowing|blocking|reduced|blocked)'''	
filling defect	CAROTID_DISEASE	r'''\bfilling\bdefect[a-z]*'''	
aneurysm	CAROTID_DISEASE	r'''\baneurysm[a-z]*|disease'''	
occlusion	CAROTID_DISEASE	r'''(occluded|occlusion|obstruction|calcifi[a-z]*)'''	
occlusion	CAROTID_DISEASE	r'''((no\W+|lack\W+of\W+|diminished\W+)(contrast\W+)?enhancement|string\W+sign|trickle\W+flow|no\W+filling|(\W+|slow\W+|diminished\W+|paucity\W+of\W+|reduced\W+)?flow)'''	
stenosis	CAROTID_DISEASE	r'''(narrowing|steno[a-z]*|abnormalities|stenosis|stenoses|stenotic)'''	
pseudoaneurysm	CAROTID_DISEASE	r'''(pseudoaneurysm|outpouching)'''	
critical plaque	CAROTID_DISEASE	r'''(stenos[a-z]*|plaqu[a-z]*|ulcer[a-z]*\W+|unstable\W+|calcif[a-z]*\W+|density\W+|\W+atheroma\W+|atheromatous\W+|atherosclero[a-z]*)'''	
arteritis	CAROTID_DISEASE	r'''(arteritis\W+|vasculitis\W+|(wall\W+thickening)|thickening)'''	
spasm	CAROTID_DISEASE	r'''(spasm|vasospasm|transient narrowing|beading|beaded)'''	
fibromuscular dysplasia	CAROTID_DISEASE	r'''fibromuscular\s+dysplasia'''	
arteriovenous malformation	CAROTID_DISEASE	r'''((arteriovenous\W+malformation)|\bAVM\b)'''	
carotid dissection	CAROTID_DISEASE	r'''carotid\W+dissection'''	
