literal	 category	 regex	 rule
lumenal reduction	CAROTID_DISEASE	r'''(lumenal |diameter |flow )(reduction|narrowing)'''	
filling defect	CAROTID_DISEASE	r'''\bfilling\bdefect[a-z]*\b'''	
aneurysm	CAROTID_DISEASE	r'''\baneurysm[a-z]*\b'''	
occlusion	CAROTID_DISEASE	r'''(\boccluded\b|\bocclusion\b|\bobstruction\b|\b(no |lack of |diminished )(contrast )?enhancement\b|\bno filling|(no |slow |diminished |paucity of |reduced )flow)'''	
stenosis	CAROTID_DISEASE	r'''(narrowing|steno[a-z]*)'''	
pseudoaneurysm	CAROTID_DISEASE	r'''(\bpseudoaneurysm\b|\boutpouching\b)'''	
critical plaque	CAROTID_DISEASE	r'''(ulcer[a-z]* |unstable |calcif[a-z]* |mixed )(density |calcif[a-z]*| atheroma |atheromatous |(atherosclero[a-z]* |soft )?plaque)'''	
arteritis	CAROTID_DISEASE	r'''(arteritis|vasculitis|wall thickening)'''	
spasm	CAROTID_DISEASE	r'''(spasm|vasospasm|transient narrowing|beading|beaded)'''	
fibromuscular dysplasia	CAROTID_DISEASE	r'''\bfibromuscular\s+dysplasia\b'''	
arteriovenous malformation	CAROTID_DISEASE	r'''(\barteriovenous malformation\b|\bAVM\b)'''	
carotid dissection	CAROTID_DISEASE	r'''carotid?\s*?\w*\s*dissection'''	
percent stenosis	CAROTID_DISEASE	r'''(percent |% )stenosis'''	
critical stenosis range	CAROTID_CRITICAL	"r'''(\s[5-9]{1}\d{1}(%)?\s*(-|to)*\s*\d{2,3}\s*(%|percent))'''"	bidirectional
critical stenosis range	CAROTID_NONCRITICAL	"r'''(\s[0-4]{0,1}\d{1}(%)?\s*(-|to)*\s*\d{2,3}\s*(%|percent))'''"	bidirectional
critical stenosis interval terms	CAROTID_CRITICAL	r'''((more|greater) than [5-9]{1}\d{1}\s*(%|percent))'''	bidirectional
critical stenosis interval sign	CAROTID_CRITICAL	r'''((>\s*[5-9]{1}\d{1})\s*(%|percent))'''	bidirectional
noncritical stenosis interval terms	CAROTID_NONCRITICAL	"r'''(less than ([1-4]{0,1}\d{1}|50)\s*(%|percent))'''"	bidirectional
noncritical stenosis interval sign	CAROTID_NONCRITICAL	r'''((<\s*[1-4]{1}\d{1}|<\s*50)\s*(%|percent))'''	bidirectional
critical stenosis value	CAROTID_CRITICAL	r'''(\s[5-9]{1}\d{1}\s*(%|percent))'''	bidirectional
critical stenosis value2	CAROTID_CRITICAL	r'''(\s100\s*(%|percent))'''	bidirectional
noncritical stenosis value	CAROTID_NONCRITICAL	r'''(\s[1-4]{1}\d{1}\s*(%|percent))'''	bidirectional
noncritical stenosis value2	CAROTID_NONCRITICAL	r'''(\s\d{1}\s*(%|percent))'''	bidirectional
mild	CAROTID_NONCRITICAL	r'''(appreciable |minimal |mild |normal )'''	bidirectional
significant	CAROTID_CRITICAL	r'''((mild to moderate) |(moderate to severe) |significant |moderate |severe |complete |near |high-grade )'''	bidirectional
left	LEFT_SIDEDNESS	r'''(\bl\b|left-sided |left side | left )'''	forward
right	RIGHT_SIDEDNESS	r'''(\br\b|right-sided |right side | right )'''	forward
bilateral	BILATERAL_SIDEDNESS	r'''(bilateral(ly)?|both )'''	bidirectional
internal carotid artery	INTERNAL_CAROTID_NEUROVASCULARANATOMY	r'''(internal carotid( artery)?|ICA |\bica\b)'''	bidirectional
common carotid artery	COMMON_CAROTID_NEUROVASCULARANATOMY	r'''(common carotid( artery)?|CCA |\bcca\b)'''	bidirectional
bulb	BULB_CAROTID_NEUROVASCULARANATOMY	r'''(bulb|carotid bulb)'''	bidirectional
vertebral	VERTEBRAL_NEUROVASCULARANATOMY	r'''(vertebral( artery)?)'''	bidirectional
external carotid artery	EXTERNAL_CAROTID_NEUROVASCULARANATOMY	r'''(external carotid( artery)?|ECA |\beca\b)'''	bidirectional
brachiocephalic artery	BRACHIOCEPHALIC_NEUROVASCULARANATOMY	r'''(BCA |\bbca\b|brachicephalic artery)'''	bidirectional
subclavian artery	SUBCLAVIAN_CAROTID_NEUROVASCULARANATOMY	r'''(SCA|\bsca\b|subclavian artery)'''	bidirectional
left subclavian artery	L_SUBCLAVIAN_NEUROVASCULARANATOMY	r'''(LSCA|\blsca\b|left subclavian artery)'''	bidirectional
right subclavian artery	R_SUBCLAVIAN_NEUROVASCULARANATOMY	r'''(RSCA|\brsca\b|right subclavian artery)'''	bidirectional
at risk for	FUTURE	r'''at\srisk\s(in\sthe\sfuture\s)?for'''	forward
if clinical concern for	FUTURE	r'''if\sclinical\s(concern|suspicion)\sfor'''	forward
if there is concern for	FUTURE		forward
normal	DEFINITE_NEGATED_EXISTENCE		bidirectional
nor	DEFINITE_NEGATED_EXISTENCE		forward
deny	DEFINITE_NEGATED_EXISTENCE		forward
denied	DEFINITE_NEGATED_EXISTENCE		forward
denies	DEFINITE_NEGATED_EXISTENCE		forward
declined	DEFINITE_NEGATED_EXISTENCE		forward
declines	DEFINITE_NEGATED_EXISTENCE		forward
ruled him out against	DEFINITE_NEGATED_EXISTENCE		forward
did rule her out against	DEFINITE_NEGATED_EXISTENCE		forward
are ruled out	DEFINITE_NEGATED_EXISTENCE		backward
rules the patient out for	DEFINITE_NEGATED_EXISTENCE		forward
ruled her out against	DEFINITE_NEGATED_EXISTENCE	r'''ruled\s(him|her)\sout\sagainst'''	forward
ruled her out	DEFINITE_NEGATED_EXISTENCE		forward
rules him out for	DEFINITE_NEGATED_EXISTENCE	r'''rules\s(him|her)\sout\sfor'''	forward
rules out	DEFINITE_NEGATED_EXISTENCE		forward
no other	DEFINITE_NEGATED_EXISTENCE	r'''no[\s]*other'''	forward
ruled the patient out against	DEFINITE_NEGATED_EXISTENCE		forward
is ruled out	DEFINITE_NEGATED_EXISTENCE		backward
did rule the patient out	DEFINITE_NEGATED_EXISTENCE		forward
ruled him out against	DEFINITE_NEGATED_EXISTENCE		forward
cannot	DEFINITE_NEGATED_EXISTENCE		forward
negative for	DEFINITE_NEGATED_EXISTENCE		forward
is negative	DEFINITE_NEGATED_EXISTENCE	r'''(is|was) negative'''	backward
#NAME?	DEFINITE_NEGATED_EXISTENCE		forward
not	DEFINITE_NEGATED_EXISTENCE	r'''\bnot\b'''	forward
never had	DEFINITE_NEGATED_EXISTENCE		forward
did rule the patient out against	DEFINITE_NEGATED_EXISTENCE		forward
patient was not	DEFINITE_NEGATED_EXISTENCE		forward
has been ruled out	DEFINITE_NEGATED_EXISTENCE		backward
rules her out for	DEFINITE_NEGATED_EXISTENCE	r'''rules\s(him|her)\sout\sfor'''	forward
without evidence for	DEFINITE_NEGATED_EXISTENCE	r'''(no|without) evidence (for|of)'''	forward
with no	DEFINITE_NEGATED_EXISTENCE		forward
not had	DEFINITE_NEGATED_EXISTENCE		forward
rules him out	DEFINITE_NEGATED_EXISTENCE	r'''rules\s(him|her)\sout'''	forward
rules the patient out	DEFINITE_NEGATED_EXISTENCE		forward
did rule the patient out for	DEFINITE_NEGATED_EXISTENCE		forward
did rule out for	DEFINITE_NEGATED_EXISTENCE		forward
did rule him out against	DEFINITE_NEGATED_EXISTENCE		forward
ruled him out	DEFINITE_NEGATED_EXISTENCE		forward
no new	DEFINITE_NEGATED_EXISTENCE		forward
ruled her out for	DEFINITE_NEGATED_EXISTENCE		forward
did rule out against	DEFINITE_NEGATED_EXISTENCE		forward
